ID,LARGEST_GIFT_AMOUNT,BIRTH_DATE,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_GIFT_AMOUNT,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_NETWORTH,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,FIRST_GIFT_AMOUNT,LAST_GIFT_AMOUNT,EDUCATION_SCHOOL_NAME,GRADUATE_DATE,TOTAL_YEARS_GIVING
1,,,,,,,,0,0,0,0,0,0,0,,,,,,
2,,12/1/1957,,,,,,138967,187500,2765944,0,4985,605537,0,M,,,,,
3,,12/1/1965,,,,,,15929,37500,10924,3179,1152,0,0,M,,,,,
4,135,6/1/1977,3/1/2011,3/1/2011,3/1/2011,135,1,38055,47500,496523,135,1156,539909,0,M,135,135,,,135
5,,,,,,,,0,0,0,0,0,0,0,,,,,,
6,,,,,,,,0,0,0,0,0,0,0,F,,,,,
7,,2/1/1956,,,,,,123034,70000,2603042,0,3178,769643,0,M,,,,,
8,,,,,,,,0,0,0,0,0,0,0,M,,,,,
9,,8/1/1962,,,,,,81889,35000,1607662,0,1959,552753,0,F,,,,,
10,,11/1/1969,,,,,,10500,35000,9019,0,1082,0,0,F,,,,,
11,,,,,,,,0,0,0,0,0,0,0,M,,,,,
12,,9/1/1983,,,,,,3970,17000,8334,0,711,0,0,F,,,,,
13,30,4/1/2028,3/10/2009,3/10/2009,3/16/2011,50,2,47550,62500,241982,50,1972,0,0,F,30,20,,,50
14,,,,,,,,0,0,0,0,0,0,0,M,,,,,
15,,7/1/1951,,,,,,61178,70000,881475,0,1697,537553,0,M,,,,,
16,,,,,,,,0,0,0,0,0,0,0,F,,,,,
17,,3/1/1950,,,,,,73188,87500,1075730,0,3096,588754,0,M,,,,,
18,,,,,,,,0,0,0,0,0,0,0,F,,,,,
19,,,,,,,,0,0,0,0,0,0,0,M,,,,,
20,2500,1/1/1959,9/2/2021,9/2/2021,9/2/2021,2500,1,17400819,2802980,197182528,16533,445228,2393990,1,M,2500,2500,,,2500
21,50,12/1/1957,3/8/2012,3/8/2012,3/8/2012,50,1,90861,187500,853348,50,2403,241225,0,M,50,50,,,50
22,,,,,,,,34650,45000,23752,0,1797,0,0,F,,,,,
23,,,,,,,,0,0,0,0,0,0,0,M,,,,,
24,7200,11/23/1938,3/2/2000,2/24/2006,11/30/2006,18200,3,260330,375000,3170188,18200,8560,267601,0,M,6000,5400,,,18200
25,,9/1/1983,,,,,,57393,125000,754012,0,2543,747867,0,F,,,,,
26,,,,,,,,0,0,0,0,0,0,0,M,,,,,
