LARGEST_GIFT_AMOUNT,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,LAST_GIFT_AMOUNT,Financially_In_Dept,Avg_Gift_Amount,gifting_Capcity,gift_check,age,cat_LARGEST_GIFT_AMOUNT
135.0,2011,2011,2011,1.0,38055.0,47500.0,135.0,1156.0,539909.0,0.0,M,135.0,False,135.0,0.0035474970437524636,False,45.0,0
50.0,2012,2012,2012,1.0,90861.0,187500.0,50.0,2403.0,241225.0,0.0,M,50.0,False,50.0,0.0005502911039940128,False,65.0,0
7200.0,2000,2006,2006,3.0,260330.0,375000.0,18200.0,8560.0,267601.0,0.0,M,5400.0,False,6066.666666666667,0.06991126646948104,False,84.0,0
240.0,2000,2004,2009,7.0,54790.0,71000.0,3225.0,1766.0,278708.0,0.0,M,48.0,False,144.28571428571428,0.018434020806716554,False,76.0,0
200.0,2009,2010,2013,4.0,206862.0,125000.0,660.0,3565.0,1046190.0,0.0,F,180.0,False,165.0,0.0031905328189807697,False,42.0,0
100.0,2019,2019,2019,1.0,100.0,0.0,100.0,0.0,0.0,0.0,F,100.0,False,100.0,1.0,False,52.0,0
600.0,2007,2007,2011,2.0,48201.0,187500.0,5948.0,1858.0,395059.0,1.0,M,250.0,False,425.0,0.017634488911018445,False,34.0,0
50.0,2012,2012,2012,1.0,111505.0,187500.0,1766.0,4340.0,607882.0,0.0,M,50.0,False,50.0,0.0004484103851845209,False,62.0,0
200.0,2017,2018,2018,2.0,45732.0,70000.0,220.0,1697.0,224234.0,1.0,F,200.0,False,110.0,0.004810635878597044,False,71.0,0
180.0,2003,2011,2012,9.0,96248.0,125000.0,1554.0,4168.0,318884.0,0.0,M,15.0,False,172.66666666666666,0.01614579004239049,False,86.0,0
8.84,2021,2022,2022,16.0,25833.0,70000.0,133.0,1393.0,0.0,0.0,M,8.84,False,8.2925,0.005136066271822863,False,49.0,0
50.0,2012,2012,2012,1.0,186363.0,375000.0,782.0,7207.0,336610.0,0.0,F,50.0,False,50.0,0.00026829359905131383,False,67.0,0
100.0,2017,2017,2017,1.0,30536.0,35000.0,100.0,976.0,482727.0,0.0,F,100.0,False,100.0,0.003274823159549384,False,41.0,0
125.0,2014,2014,2014,1.0,197129.0,375000.0,125.0,7020.0,790077.0,0.0,M,125.0,False,125.0,0.0006341025419902704,False,64.0,0
50.0,2011,2011,2011,1.0,85382.0,87500.0,50.0,3833.0,551645.0,0.0,F,50.0,False,50.0,0.0005856035229907943,False,89.0,0
180.0,2014,2014,2014,1.0,30414.0,50900.0,180.0,1200.0,360355.0,0.0,F,180.0,False,180.0,0.005918327086210298,False,47.0,0
180.0,2005,2010,2022,18.0,46968.0,70000.0,602.0,1466.0,479326.0,0.0,M,17.79,False,33.446666666666665,0.012818088911599386,False,55.0,0
180.0,2003,2014,2015,12.0,86077.0,162500.0,1288.0,2226.0,395774.0,0.0,M,10.0,False,107.33333333333333,0.014963346770914415,False,62.0,0
100.0,2013,2013,2013,1.0,72610.0,187500.0,100.0,2131.0,400193.0,0.0,F,100.0,False,100.0,0.001377220768489189,False,51.0,0
180.0,2014,2014,2014,1.0,87302.0,26600.0,180.0,2348.0,774460.0,0.0,M,180.0,False,180.0,0.0020618084350873976,False,87.0,0
400.0,2015,2016,2016,2.0,65012.0,87500.0,650.0,1723.0,363566.0,0.0,F,400.0,False,325.0,0.009998154186919338,False,63.0,0
27.23,2021,2022,2022,16.0,15603.0,39600.0,423.0,1063.0,129361.0,0.0,F,27.23,False,26.448125,0.027121066461577904,False,44.0,0
100.0,2015,2015,2015,1.0,41975.0,62500.0,100.0,1889.0,0.0,0.0,F,100.0,True,100.0,0.0023823704586063135,False,89.0,0
70.0,2022,2022,2022,1.0,21070.0,87500.0,70.0,1502.0,0.0,0.0,M,70.0,True,70.0,0.0033222591362126247,False,46.0,0
180.0,2011,2012,2022,18.0,44214.0,125000.0,497.0,1697.0,349349.0,0.0,M,20.59,False,27.63388888888889,0.01125005654317637,False,44.0,0
50.0,2014,2014,2014,1.0,230252.0,375000.0,50.0,7786.0,765553.0,0.0,F,50.0,False,50.0,0.0002171533797752028,False,66.0,0
300.0,1999,2003,2003,6.0,284230.0,87500.0,42891.0,4713.0,801331.0,0.0,M,300.0,False,250.0,0.0052774161770397215,False,78.0,0
