ID,LARGEST_GIFT_AMOUNT,BIRTH_DATE,FIRST_GIFT_DATE,LARGEST_GIFT_DATE,LAST_GIFT_DATE,TOTAL_GIFT_AMOUNT,TOTAL_NUMBER_GIFTS,TOTAL_GIVING_CAPACITY,TOTAL_INCOME,TOTAL_NETWORTH,TOTAL_DONATIONS,TOTAL_EAD,LARGEST_REALEST_VALUE,TOTAL_NO_EVENTS_PARTICIPATED,GENDER,FIRST_GIFT_AMOUNT,LAST_GIFT_AMOUNT,Financially_In_Dept,Avg_Gift_Amount,gifting_Capcity,gift_check,age,Group,Score
4,135.0,1977-06-01,2011,2011,2011,135.0,1.0,38055.0,47500.0,496523,135.0,1156.0,539909.0,0.0,M,135.0,135.0,False,135.0,0.0035474970437524,False,45.0,0,11.20623141864656
65,600.0,1988-06-01,2007,2007,2011,850.0,2.0,48201.0,187500.0,424569,5948.0,1858.0,395059.0,1.0,M,600.0,250.0,False,425.0,0.0176344889110184,False,34.0,0,10.462297065274935
274,27.23,1978-05-01,2021,2022,2022,423.17,16.0,15603.0,39600.0,110813,423.0,1063.0,129361.0,0.0,F,25.74,27.23,False,26.448125,0.0271210664615779,False,44.0,0,11.609758322096079
374,180.0,1961-05-01,2008,2011,2011,540.0,4.0,24915.0,62500.0,27283,540.0,1486.0,0.0,0.0,F,180.0,180.0,True,135.0,0.0216736905478627,False,61.0,0,11.751057889833737
477,144.0,1985-05-01,2005,2005,2022,376.18,17.0,6001.0,37500.0,7868,376.0,979.0,0.0,0.0,F,144.0,24.19,True,22.128235294117648,0.062686218963506,False,37.0,0,8.01076252359549
481,144.0,1970-09-01,1997,2011,2011,209.0,6.0,2384.0,7500.0,0,209.0,566.0,0.0,0.0,M,5.0,24.0,True,34.833333333333336,0.0876677852348993,False,52.0,0,5.20948118884349
497,180.0,1971-11-01,2006,2011,2011,633.0,6.0,44383.0,125000.0,342541,633.0,1802.0,0.0,0.0,F,144.0,180.0,False,105.5,0.0142622175157154,False,51.0,0,12.00640507394621
585,150.0,1973-03-01,2011,2013,2013,400.0,3.0,36525.0,87500.0,320688,400.0,1541.0,0.0,0.0,M,100.0,150.0,False,133.33333333333334,0.0109514031485284,False,50.0,0,11.286142887155991
630,180.0,1980-09-01,2011,2011,2011,180.0,1.0,9205.0,47500.0,78307,180.0,1117.0,0.0,0.0,F,180.0,180.0,False,180.0,0.0195545898967952,False,42.0,0,12.37229110507001
677,250.0,1978-09-01,2011,2018,2018,1280.0,6.0,58973.0,225000.0,570756,1280.0,2164.0,208855.0,0.0,F,180.0,250.0,False,213.33333333333331,0.0217048479812795,False,44.0,0,11.833742656652724
866,100.0,1987-08-01,2021,2021,2021,100.0,1.0,17950.0,70000.0,121063,100.0,1246.0,0.0,0.0,M,100.0,100.0,False,100.0,0.0055710306406685,False,35.0,0,10.597946822900592
938,500.0,2022-06-01,2001,2003,2015,1140.0,5.0,194620.0,225000.0,3048851,1140.0,7987.0,359603.0,0.0,F,50.0,40.0,False,228.0,0.0058575685952111,False,0.0,0,10.998666700815093
941,180.0,1977-03-01,2011,2015,2016,285.0,3.0,40424.0,47500.0,535671,285.0,1156.0,584283.0,0.0,F,180.0,40.0,False,95.0,0.0070502671680189,False,46.0,0,11.40500758111047
970,144.0,2023-03-01,2002,2002,2012,194.0,2.0,48319.0,62500.0,38465,194.0,2059.0,0.0,0.0,F,144.0,50.0,True,97.0,0.0040149837538028,False,0.0,0,10.436290054521068
1087,180.0,1974-03-01,2011,2011,2011,180.0,1.0,184832.0,125000.0,3487267,180.0,3748.0,628450.0,0.0,M,180.0,180.0,False,180.0,0.0009738573407202,False,49.0,0,10.99050001230473
1090,180.0,1974-01-01,2008,2008,2011,235.0,3.0,20235.0,62500.0,115423,235.0,1329.0,0.0,0.0,F,180.0,25.0,False,78.33333333333333,0.0116135408944897,False,49.0,0,11.637751714444459
1161,495.98,2001-06-08,2020,2020,2020,495.98,1.0,46621.0,187500.0,315126,496.0,2628.0,884992.0,0.0,F,495.98,495.98,False,495.98,0.0106385534415821,False,21.0,0,11.256219320154852
1217,180.0,1989-06-01,2007,2011,2013,452.0,6.0,51236.0,225000.0,604979,452.0,1986.0,520673.0,0.0,F,144.0,7.0,False,75.33333333333333,0.0088219220860332,False,33.0,0,11.590689712712352
1269,180.0,1978-06-01,2000,2011,2012,284.0,4.0,6576.0,28600.0,4997,284.0,929.0,0.0,0.0,F,10.0,15.0,True,71.0,0.0431873479318734,False,44.0,0,10.456048715732141
1398,350.0,1979-09-01,2010,2011,2018,1050.0,10.0,93550.0,375000.0,1062498,1050.0,4568.0,0.0,1.0,M,100.0,180.0,False,105.0,0.0112239444147514,False,43.0,0,10.252050437869771
1438,325.0,1981-02-01,2019,2019,2020,350.0,2.0,71600.0,375000.0,804223,350.0,2629.0,0.0,0.0,F,325.0,25.0,False,175.0,0.0048882681564245,False,42.0,0,10.955723506997273
